Ride ID,Request Time,Pickup Location,Latitude Pickup,Longitude Pickup,Dropoff Location,Latitude Dropoff,Longtitude Dropoff,Ride Distance (in miles),Fare Amount (in $),Payment Method,Driver ID,Vehicle Type,Traffic Condition,Peak Hours,Day of Week,Public Holiday,User Rating
1,6-24-22 3:53,"-65.058302,-87.317865",-65.058302,-87.317865,"0.538743,92.882125",0.538743,92.882125,1740.234865,194.02,Apple Pay,NZ7984,Bus,Medium,No,Tuesday,Yes,3
2,1-29-22 23:14,"-52.0249,90.732521",-52.0249,90.732521,"-73.884212,-164.18793",-73.884212,-164.18793,9812.894891,1001.29,Visa,YL0399,Sedan,Low,Yes,Tuesday,No,2
3,5-6-24 20:52,"-52.069612,-53.636595",-52.069612,-53.636595,"-13.211957,-134.677316",-13.211957,-134.677316,4393.333555,459.33,Debit Card,FM0598,Sedan,Medium,No,Saturday,Yes,3
4,10-10-24 5:28,"69.029568,-147.328355",69.029568,-147.328355,"-49.799593,13.785712",-49.799593,13.785712,8958.465157,915.85,Cash,IF6570,Sedan,Medium,No,Friday,No,5
5,12-25-22 13:37,"84.803601,126.749951",84.803601,126.749951,"57.169812,-87.797922",57.169812,-87.797922,2253.453055,245.35,PayPal,FC4257,Bus,Medium,Yes,Sunday,Yes,4
6,7-13-22 16:38,"-38.711194,-16.143031",-38.711194,-16.143031,"-78.441128,-166.239122",-78.441128,-166.239122,5410.766948,561.08,Debit Card,HQ9383,Motorcycle,Medium,Yes,Monday,Yes,5
7,7-28-24 13:15,"26.332564,49.563277",26.332564,49.563277,"61.760789,-62.315159",61.760789,-62.315159,6171.592987,637.16,Apple Pay,VU5153,SUV,Low,Yes,Sunday,No,1
8,6-13-23 3:36,"38.76426,179.830689",38.76426,179.830689,"-1.843074,71.456465",-1.843074,71.456465,7105.95036,730.60,Debit Card,UI1438,Motorcycle,High,Yes,Thursday,Yes,1
9,12-8-22 12:03,"-23.687335,160.845317",-23.687335,160.845317,"40.815708,82.485348",40.815708,82.485348,9748.175538,994.82,Debit Card,BC3401,Sedan,Low,Yes,Thursday,No,1
10,12-4-22 7:13,"57.936342,77.391346",57.936342,77.391346,"-18.409551,32.938545",-18.409551,32.938545,1791.059075,199.11,PayPal,GL8330,Motorcycle,Low,No,Wednesday,No,5
